Hashtags,Text,FavCount,Language,Place,UserLocation,RetweetCount,Sentiment,Polarity
WiTBragDay,"Relentless worker, supportive &amp; cheerful leader, brought @WomenTechmakers where it didn't exist. Yep, that's @AnnaFuoti #WiTBragDay",5,en,,"Aci Sant'Antonio, Sicilia",3,"Sentiment(polarity=0.45, subjectivity=1.0)",positive
WITBragDay,Proud to have @emilybache in the Praqma team #WITBragDay https://t.co/cCp4SU2V9x,7,en,"Copenhagen, Denmark","Copenhagen, Denmark",0,"Sentiment(polarity=0.8, subjectivity=1.0)",positive
WiTBragDay,#WiTBragDay,1,und,,,0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
billionaires,Yay!...and you've made a couple of folks #billionaires _Ÿ_“ https://t.co/ZMBSzV9rdM,0,en,,"Kampala, Uganda",0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
WiTBragDay,Hope I will be able to contribute to #WiTBragDay soon :-) _Ÿ™è_Ÿè_,2,en,,"Mysore, Karnataka",0,"Sentiment(polarity=0.5, subjectivity=0.8125)",positive
WITBragDay womenintech,"Follow #WITBragDay so inspiring, so many achievements #womenintech _Ÿ‘è_Ÿè»_Ÿ‘è_Ÿè»_Ÿ‘è_Ÿè»",4,en,,Warsaw and Manchester,1,"Sentiment(polarity=0.5, subjectivity=0.75)",positive
WITBragDay,#WITBragDay this hashtag is _Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜çâù_âù_âù_,2,en,,Dunya,1,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
,@euangoddard https://t.co/ZAM9IjgWoi,1,und,"Oxford, England",,0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
,@JavaGirlPL @KingaTest @MrozekKamila @firlejmartha @kzmitrowicz @amadurska join#WITBragDay and spot Ur story ! â˜ºâœŒ_Ÿ™Œ_Ÿ“±_Ÿ’» https://t.co/PD5MSBacwN,2,en,,"PoznaÅ„,Poland",0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
,"At 12, the most I could do was play road rash and win. I never knew more things were possible _Ÿ˜‚_Ÿ˜‚_Ÿ˜‚I'm in awe _Ÿ˜ç_Ÿ˜ç_Ÿ˜ç https://t.co/YQT6sb7N1H",1,en,,Nigeria,0,"Sentiment(polarity=0.4, subjectivity=0.7)",positive
WITBragDay,Hi @KatherineOGrady have u seen #WITBragDay,2,en,,"Brisbane, Queensland",0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
WITBragDay,"Studied French, modeled for 4 years, studied Digital Marketing and now learning Coding. (I am proud of myself) _Ÿ˜‘ #WITBragDay",24,en,,Lagos,10,"Sentiment(polarity=0.26666666666666666, subjectivity=0.3333333333333333)",positive
CoDeCPH CoDeSTHLM,We can't wait to hear @nicolefv's keynote at #CoDeCPH and #CoDeSTHLM https://t.co/KjycayMb3k https://t.co/CyBNir8huK,5,en,,,0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
,Odunski!!!! https://t.co/N2WXfkzIcz,0,sl,,"Lagos, Nigeria",0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
WITBragDay,"Scrolled through #WITBragDay tweets for ages... so many great stories, big and small. I especially liked the ""on behalf of my mum"" brags!",4,en,,UK,0,"Sentiment(polarity=0.41, subjectivity=0.55)",positive
WITBragDay,#WITBragDay Started a successful web biz after surviving a criminal trial on false charges while pregnant. Anyone else want to fuck with me?,15,en,,GLA / MCR / EDI / LDN / etc,1,"Sentiment(polarity=-0.023333333333333362, subjectivity=0.64)",negative
WITBragDay,"If you're looking for something positive to look at on this shitty, shitty day, check out the #WITBragDay tag.",7,en,,"Washington, DC",4,"Sentiment(polarity=0.22727272727272727, subjectivity=0.5454545454545454)",positive
,i'm inlove https://t.co/3nhS3oHBHa,0,en,,"mcu, sitcoms",0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
